Case ID,Case Type,Court Type,Judge Name,Lawyer Name,Case Start Date,Case End Date,Judge Experience (Years),Lawyer Experience (Years),Case Duration (Days),Case Outcome,Lawyer Firm,Case Complexity Level,Case Status
808,Criminal,High Court,Sylvia Sweeney,Julie Gordon,2020-08-09,2022-06-20,17,29,680,Acquittal,Lee & Partners,Low,Pending
809,Corporate,High Court,Jane Brown,Carla Carroll,2020-09-08,2024-11-06,34,9,1520,Judgment for Plaintiff,Smith & Co,High,Pending
810,Property,High Court,Joyce Garcia,Jonathan Acosta,2022-11-26,2023-09-04,26,14,282,Conviction,Black Legal Solutions,Medium,Closed
811,Criminal,High Court,Stephanie Conrad,Juan Sanchez,2020-12-09,2023-07-05,8,7,938,Acquittal,Smith & Co,Medium,Pending
812,Criminal,High Court,Allison Bell,Katherine Carr,2023-10-11,2024-04-20,14,31,192,Acquittal,Clark & Harris,High,Open
813,Property,District Court,Rebecca Castro,James Cortez,2022-12-11,2023-07-31,26,35,232,Dismissal,Davis Legal Services,Medium,Pending
814,Family,Family Court,Amber King,Crystal Meyer,2024-08-12,2024-08-25,34,12,13,Dismissal,Black Legal Solutions,Medium,Open
815,Civil,High Court,Thomas Pruitt,Jeffrey Wood,2024-05-06,2024-06-19,40,9,44,Conviction,Young & Associates,Medium,Open
816,Criminal,High Court,Andrew Rojas,Kaitlin Smith,2022-11-11,2024-08-07,29,5,635,Acquittal,Lee & Partners,Medium,Open
817,Criminal,Commercial Court,Sergio Mccoy,Chelsea Edwards,2024-07-22,2024-10-18,6,6,88,Conviction,Davis Law Firm,High,Pending
818,Civil,High Court,Kaitlin Jones,Timothy Davis,2024-11-25,2024-12-31,16,26,36,Pending,Black Legal Solutions,High,Open
819,Civil,Commercial Court,Brandon Cook,Cathy Leon,2023-04-22,2023-11-30,27,26,222,Pending,Carter Law,High,Open
820,Corporate,Commercial Court,Kristen Wagner,William Brown,2022-11-25,2023-12-15,15,11,385,Acquittal,Young & Associates,Low,Closed
821,Corporate,District Court,Nancy Davis,Justin Howard,2024-07-16,2024-10-19,17,15,95,Pending,Lee & Partners,Low,Open
822,Corporate,High Court,Jeffrey Powell,Lisa Walker,2020-01-18,2020-10-06,17,30,262,Dismissal,Smith & Co,Medium,Closed
823,Property,Family Court,Peter Romero,Paul Beck,2023-01-23,2023-04-15,38,2,82,Acquittal,Davis Legal Services,High,Pending
824,Criminal,Commercial Court,Nichole Bradford,Brittany Miller,2022-01-13,2023-05-10,38,29,482,Pending,Davis Legal Services,Low,Open
825,Family,District Court,Kathryn Bradford,Nicole Wallace,2024-03-12,2024-11-11,19,2,244,Acquittal,Davis Law Firm,Low,Closed
826,Family,District Court,Carlos Nelson,Jeffery Olsen,2023-05-01,2024-05-09,18,11,374,Acquittal,Lee & Partners,High,Pending
827,Property,Small Claims Court,Jennifer Henderson,Spencer Johnson,2020-06-21,2021-05-21,25,17,334,Settlement,Young & Associates,Low,Pending
828,Criminal,Family Court,Devin Brooks,Daniel Ward,2024-05-07,2024-09-09,17,18,125,Dismissal,Davis Law Firm,Low,Pending
829,Civil,Family Court,Ronald Martinez,Michael Perez,2020-07-25,2024-09-06,7,12,1504,Pending,Lee & Partners,Low,Pending
830,Property,Commercial Court,Mark Johnson,Carl Hamilton,2022-05-22,2022-07-24,20,32,63,Acquittal,Lee & Partners,Low,Pending
831,Criminal,Small Claims Court,Bailey Campbell,Adam Camacho,2024-02-10,2024-04-19,36,25,69,Acquittal,Davis Legal Services,Medium,Closed
832,Civil,Family Court,Nicole Welch,Emily Le,2021-09-02,2024-08-22,13,31,1085,Acquittal,Carter Law,Low,Closed
833,Property,District Court,Kevin Combs,Evan Manning,2024-06-19,2024-11-29,40,25,163,Conviction,Lee & Partners,High,Pending
834,Criminal,District Court,Monique Flynn,Jordan Allen,2020-10-22,2023-12-08,5,10,1142,Conviction,Smith & Co,Low,Closed
835,Corporate,District Court,David Miller,Carl Tran,2024-01-03,2024-03-16,22,27,73,Dismissal,Clark & Harris,High,Open
836,Criminal,District Court,Samuel Davis,Connie Brooks,2021-01-16,2021-11-02,22,14,290,Dismissal,Young & Associates,Medium,Pending
837,Property,Commercial Court,Catherine Blackwell,Rebecca Smith,2024-09-11,2024-11-06,38,17,56,Settlement,Davis Law Firm,High,Open
838,Property,District Court,Maxwell Miller,Vincent Collins,2021-08-29,2022-10-17,16,23,414,Settlement,Wilson Legal,Medium,Closed
839,Civil,High Court,Victor White,Kelly Murray,2023-01-27,2024-12-19,18,35,692,Dismissal,Smith & Co,Low,Closed
840,Family,Commercial Court,Daniel Wolfe,Corey Macdonald,2023-08-23,2024-06-26,19,27,308,Judgment for Plaintiff,Carter Law,Low,Open
841,Property,High Court,Chloe Bullock,Robert Rivera,2022-05-10,2022-08-23,36,34,105,Judgment for Plaintiff,Young & Associates,High,Pending
842,Civil,Family Court,Jacob Tanner,Nicole Peterson,2020-07-21,2020-11-05,7,29,107,Dismissal,Wilson Legal,Low,Closed
843,Civil,District Court,Jeffrey Wright,Zachary Lawson,2022-10-11,2024-01-20,10,25,466,Conviction,Carter Law,Medium,Closed
844,Property,Small Claims Court,Teresa Ball,Daniel Becker,2022-09-03,2023-06-07,6,12,277,Conviction,Lee & Partners,High,Pending
845,Family,Small Claims Court,George Schultz,David Price,2022-12-13,2024-06-06,35,4,541,Judgment for Plaintiff,Smith & Co,Medium,Open
846,Criminal,High Court,Lori Vargas,Melanie Stuart,2022-10-01,2024-02-08,33,3,495,Settlement,Davis Law Firm,Low,Open
847,Family,Family Court,Anthony Miller,Misty Hughes,2022-05-06,2023-03-04,27,1,302,Pending,Davis Legal Services,High,Closed
848,Corporate,Family Court,Matthew Kirk,Shaun Bryant,2021-12-19,2023-09-07,17,29,627,Conviction,Davis Law Firm,Medium,Open
849,Property,District Court,Patricia Jones,Steven Robertson,2021-04-04,2021-08-26,26,15,144,Settlement,Smith & Co,High,Pending
850,Property,District Court,Garrett Young,Jennifer Calhoun,2021-09-28,2023-11-11,10,21,774,Pending,Davis Legal Services,Low,Open
851,Property,Commercial Court,Jonathan Bradley,Lisa Johns,2021-10-19,2022-06-18,26,15,242,Settlement,Smith & Co,Low,Pending
852,Family,Commercial Court,Anna Brewer,Andrea Kim,2022-04-03,2023-10-16,19,34,561,Conviction,Carter Law,Medium,Pending
853,Family,District Court,Ms. Melissa Johnson,Michael Adams,2022-08-09,2023-08-21,34,3,377,Settlement,Smith & Co,Low,Open
854,Property,High Court,Sandra Peters,Kevin Richards,2023-01-16,2024-05-06,19,31,476,Settlement,Davis Legal Services,Low,Pending
855,Property,Small Claims Court,Erica Sanchez,Damon Williams,2023-10-27,2024-06-29,15,17,246,Acquittal,Clark & Harris,Medium,Open
856,Property,Family Court,Ryan Boone,Katrina Rhodes,2024-02-10,2024-08-13,18,6,185,Conviction,Clark & Harris,High,Pending
857,Criminal,Family Court,Paige Johnson,Brandi Keller,2023-06-07,2024-11-11,17,35,523,Judgment for Plaintiff,Lee & Partners,Medium,Closed
858,Criminal,High Court,Bradley Morales,Alice White,2022-01-03,2022-10-01,9,27,271,Conviction,Black Legal Solutions,High,Closed
859,Property,Small Claims Court,Rebecca Bass,Jessica Patel,2021-01-16,2022-05-08,13,24,477,Acquittal,Black Legal Solutions,Low,Closed
860,Civil,District Court,James Fry,Elizabeth Powers,2022-07-14,2023-10-21,14,24,464,Judgment for Plaintiff,Young & Associates,Low,Pending
861,Corporate,High Court,Michael Hernandez Jr.,Craig Ramirez,2021-03-15,2022-08-09,5,35,512,Judgment for Plaintiff,Clark & Harris,High,Open
862,Criminal,District Court,Daniel Hayes,Jeffrey Vasquez,2021-11-26,2022-05-05,21,12,160,Settlement,Wilson Legal,Medium,Closed
863,Family,Small Claims Court,Kendra Smith,Dr. Diane Marquez,2024-10-12,2024-11-06,33,23,25,Conviction,Young & Associates,High,Open
864,Corporate,District Court,Jason Lawrence,Heather Allison,2024-11-30,2024-12-19,24,23,19,Dismissal,Davis Legal Services,Low,Closed
865,Civil,Commercial Court,Brooke Figueroa,Shannon Rogers,2023-01-28,2024-02-05,33,22,373,Pending,Lee & Partners,High,Closed
866,Family,Commercial Court,Justin Bell PhD,David Johnson,2023-08-03,2024-10-11,27,29,435,Dismissal,Davis Legal Services,Low,Open
867,Corporate,Commercial Court,Austin Eaton,Mark Tran,2023-08-22,2024-04-07,25,17,229,Settlement,Lee & Partners,High,Closed
868,Corporate,High Court,Kayla Bryant,Roberta Maddox,2020-03-11,2020-08-31,34,17,173,Conviction,Davis Legal Services,Medium,Open
869,Corporate,Family Court,Maria Blair,Alfred Stanley,2020-03-30,2023-11-23,23,24,1333,Dismissal,Davis Law Firm,Medium,Open
870,Family,District Court,Amanda Cox,Crystal Reyes,2021-10-23,2024-12-28,20,5,1162,Settlement,Carter Law,High,Pending
871,Corporate,High Court,Mr. Daniel Landry,Kenneth Edwards,2021-09-07,2022-06-07,10,25,273,Pending,Carter Law,Low,Open
872,Family,Family Court,Dean Bennett,Samuel Vasquez,2020-07-10,2020-07-29,12,11,19,Pending,Young & Associates,High,Open
873,Family,Commercial Court,Rhonda Moreno,Adam Sullivan,2024-03-07,2024-09-03,29,13,180,Acquittal,Smith & Co,High,Open
874,Civil,Commercial Court,Luis Stephenson,Michelle Lewis DVM,2022-10-07,2023-05-15,19,1,220,Pending,Smith & Co,High,Pending
875,Corporate,Commercial Court,Nicholas Gonzales,Thomas Robinson,2021-02-27,2022-04-20,14,25,417,Dismissal,Young & Associates,High,Closed
876,Civil,Family Court,Eric Douglas,Omar Knox,2021-02-19,2023-05-29,16,32,829,Judgment for Plaintiff,Smith & Co,High,Pending
877,Property,High Court,Grant Allison,Sydney Hart,2021-05-03,2023-09-13,34,17,863,Conviction,Black Legal Solutions,High,Open
878,Corporate,Commercial Court,Brittany Lawson,David Rodriguez,2024-03-12,2024-07-27,38,14,137,Settlement,Clark & Harris,High,Closed
879,Civil,District Court,Bill Crane,Shawn Murray,2022-06-16,2023-03-26,8,33,283,Judgment for Plaintiff,Lee & Partners,Low,Closed
880,Criminal,District Court,Denise Willis,Shannon Johnson,2020-02-22,2024-12-02,29,27,1745,Pending,Young & Associates,Medium,Closed
881,Criminal,High Court,Yolanda Clark,Shelby Mckinney,2023-05-25,2024-11-22,38,11,547,Dismissal,Lee & Partners,High,Closed
882,Civil,District Court,Kim Watson,Ms. Carolyn Huber DVM,2023-11-01,2023-11-30,11,8,29,Conviction,Clark & Harris,High,Closed
883,Family,High Court,Michael Wood,Sandra Mccann,2022-01-09,2023-06-29,9,19,536,Acquittal,Carter Law,Medium,Open
884,Corporate,Family Court,Kevin Thompson,Derek Weaver,2021-11-29,2022-12-11,14,15,377,Acquittal,Davis Legal Services,Low,Pending
885,Criminal,High Court,Shelly Herrera,Kyle Gilbert,2021-03-14,2023-08-22,13,30,891,Settlement,Lee & Partners,Low,Open
886,Corporate,Small Claims Court,Brenda Gilmore,Jason Hill,2023-03-01,2024-06-02,37,25,459,Settlement,Davis Law Firm,High,Open
887,Property,Small Claims Court,Todd Cohen,John Martin,2022-03-03,2023-05-18,25,3,441,Conviction,Davis Law Firm,Medium,Open
888,Civil,Commercial Court,Cynthia Williams,Ryan Lewis,2020-01-26,2024-06-24,12,7,1611,Conviction,Smith & Co,Low,Closed
889,Property,District Court,Patricia Garza,Ashlee Hardin,2021-10-10,2023-07-12,16,17,640,Acquittal,Davis Law Firm,High,Open
890,Corporate,Commercial Court,Robert Sanders,David Rodriguez MD,2023-06-07,2024-06-20,7,14,379,Judgment for Plaintiff,Black Legal Solutions,Low,Open
891,Corporate,High Court,Marissa Lee,Alexis Arnold,2023-06-20,2023-12-20,14,29,183,Conviction,Black Legal Solutions,Low,Pending
892,Family,Small Claims Court,Dana Molina,Beth Sweeney,2020-08-18,2021-02-15,37,23,181,Pending,Smith & Co,Low,Open
893,Property,Commercial Court,Jennifer Sanchez,Ronald Rodriguez,2020-01-28,2022-12-23,15,34,1060,Pending,Smith & Co,Low,Closed
894,Family,Small Claims Court,Nathan Romero,Jeremy Gutierrez,2020-12-16,2023-04-15,29,27,850,Conviction,Davis Law Firm,Medium,Pending
895,Civil,Family Court,Sherry Bowman,Tanner Acosta,2020-07-07,2021-02-02,27,4,210,Acquittal,Davis Law Firm,Medium,Pending
896,Family,Family Court,Natasha Bright,Ruth Davis,2022-05-04,2022-10-14,35,28,163,Settlement,Smith & Co,High,Closed
897,Criminal,District Court,Mr. Stephen Moore DDS,William Hines,2020-07-12,2021-11-09,29,2,485,Conviction,Carter Law,High,Closed
898,Civil,High Court,Melinda Brown,Taylor Cole,2023-10-02,2024-07-14,38,20,286,Acquittal,Lee & Partners,Low,Pending
899,Civil,Small Claims Court,Sharon Williams,Dr. Jessica Thompson,2021-06-05,2022-08-22,19,2,443,Judgment for Plaintiff,Davis Legal Services,Low,Open
900,Criminal,Family Court,Lindsey Neal,Isaac Wilson,2022-02-05,2024-08-03,24,27,910,Conviction,Lee & Partners,Low,Open
901,Family,High Court,Alicia Delacruz,Dustin Burch,2022-12-22,2024-12-10,26,5,719,Judgment for Plaintiff,Davis Legal Services,High,Closed
902,Criminal,High Court,Erin Rich,Catherine Phillips,2023-01-18,2024-02-09,13,21,387,Dismissal,Wilson Legal,Medium,Closed
903,Family,Commercial Court,John Scott,Garrett Buchanan,2020-02-19,2021-04-27,16,11,433,Acquittal,Clark & Harris,High,Pending
904,Property,High Court,David Moore,Rick Carlson,2023-05-09,2024-09-29,31,19,509,Settlement,Davis Law Firm,Medium,Pending
905,Corporate,Small Claims Court,Cynthia Garrett,Paul Mckinney,2022-05-02,2024-05-15,40,13,744,Dismissal,Wilson Legal,Medium,Open
906,Corporate,Commercial Court,Ashlee Gray,Erin Doyle,2023-05-27,2023-12-03,14,32,190,Acquittal,Smith & Co,Low,Open
907,Civil,High Court,Shannon Lopez,Alejandro Patterson,2023-05-21,2024-05-27,40,22,372,Dismissal,Young & Associates,Low,Pending
908,Civil,High Court,Nicole Mckee,Holly Shelton,2021-11-03,2023-06-22,39,2,596,Judgment for Plaintiff,Lee & Partners,Low,Closed
909,Civil,Family Court,Jimmy Smith,John Best,2021-09-26,2022-02-19,30,17,146,Acquittal,Young & Associates,Low,Closed
910,Family,High Court,Stephanie Nelson,Ian Lopez,2024-12-25,2024-12-31,21,19,6,Pending,Smith & Co,High,Pending
911,Civil,Small Claims Court,Stephanie Martinez,Rachel Banks,2021-05-09,2023-07-27,26,22,809,Dismissal,Lee & Partners,Medium,Pending
912,Civil,Small Claims Court,Michael Hernandez,Maria Haas,2022-08-20,2023-08-31,25,22,376,Conviction,Davis Legal Services,Medium,Open
913,Civil,High Court,Joshua Stewart,Kimberly Garcia,2021-09-20,2024-09-07,37,25,1083,Pending,Carter Law,High,Open
914,Property,Small Claims Court,Melissa Douglas,Joshua Thompson,2020-10-12,2021-12-02,32,10,416,Conviction,Wilson Legal,High,Closed
915,Property,Family Court,Susan Williams,Justin Scott,2024-12-13,2024-12-21,32,18,8,Conviction,Carter Law,Medium,Closed
916,Corporate,Small Claims Court,Stephen Norton,Troy Miller,2022-05-31,2024-05-15,15,13,715,Judgment for Plaintiff,Young & Associates,Medium,Pending
917,Family,District Court,Brandon Long,Justin Maynard,2024-09-29,2024-11-30,35,11,62,Pending,Clark & Harris,High,Closed
918,Property,High Court,Jorge Hernandez,Makayla Booth,2024-05-19,2024-06-20,34,17,32,Dismissal,Carter Law,Medium,Pending
919,Criminal,High Court,Anthony Medina,Mr. Alexander Parker II,2024-02-11,2024-11-15,34,4,278,Judgment for Plaintiff,Wilson Legal,Low,Open
920,Corporate,High Court,Mr. Ryan Lang,Bridget Yoder,2023-01-16,2023-02-15,17,8,30,Acquittal,Carter Law,High,Open
921,Property,Commercial Court,Luis Moore,Brandi Simmons,2021-12-31,2022-04-25,25,22,115,Dismissal,Davis Legal Services,Medium,Open
922,Corporate,High Court,Christopher Black,Andrew Christensen,2024-06-05,2024-09-13,26,32,100,Settlement,Davis Legal Services,Medium,Open
923,Family,High Court,Corey Patterson,Steven Smith,2020-10-14,2022-01-02,33,24,445,Acquittal,Smith & Co,Low,Closed
924,Civil,Commercial Court,Steven Perkins,Robin Crosby,2021-01-31,2022-06-14,5,28,499,Acquittal,Smith & Co,High,Closed
925,Corporate,Commercial Court,Jeremy White,Sean Pratt,2023-12-11,2024-08-26,26,29,259,Judgment for Plaintiff,Black Legal Solutions,Low,Pending
926,Corporate,Family Court,Jennifer Gordon,Timothy Pace,2020-02-25,2020-03-30,18,35,34,Acquittal,Smith & Co,Low,Open
927,Corporate,Commercial Court,Deanna Glenn,Samuel Smith,2023-12-23,2024-06-01,36,5,161,Acquittal,Davis Legal Services,Low,Open
928,Corporate,Small Claims Court,Kathy Boyer,Elizabeth Stanley,2022-07-04,2023-08-14,22,29,406,Judgment for Plaintiff,Lee & Partners,Medium,Closed
929,Criminal,High Court,Jeffrey Kirby,Meredith Mahoney,2023-03-17,2023-12-25,38,25,283,Settlement,Clark & Harris,Low,Pending
930,Criminal,District Court,Sean Williams,Dennis Scott,2022-02-26,2022-10-24,18,35,240,Conviction,Clark & Harris,Medium,Pending
931,Family,High Court,Crystal Page,Christopher Lee,2020-02-23,2023-03-09,15,21,1110,Pending,Clark & Harris,Medium,Closed
932,Property,High Court,Jeanette Shaffer,Heather Stevens,2024-06-08,2024-07-28,34,21,50,Settlement,Black Legal Solutions,Low,Open
933,Property,High Court,Leah Harris,Allen Shepherd,2023-04-02,2024-05-18,37,5,412,Dismissal,Lee & Partners,Medium,Pending
934,Civil,Small Claims Court,Rebecca Allen,Kelly Barker,2020-02-08,2020-04-18,28,18,70,Conviction,Carter Law,Medium,Closed
935,Criminal,High Court,Richard Bradley,Roberto Allen,2023-05-13,2024-06-08,29,24,392,Acquittal,Wilson Legal,Low,Pending
936,Family,Commercial Court,Heather Strickland,Sarah Jones,2024-03-09,2024-09-29,37,1,204,Dismissal,Lee & Partners,High,Pending
937,Family,Small Claims Court,Mary Owens,Amy Gray,2020-03-04,2020-07-14,6,9,132,Judgment for Plaintiff,Carter Law,Low,Pending
938,Civil,Family Court,William Ferguson,Richard Huynh,2023-02-20,2023-07-21,26,15,151,Acquittal,Black Legal Solutions,High,Closed
939,Civil,Family Court,John Smith,Jared Hudson,2023-09-28,2024-09-30,21,9,368,Acquittal,Black Legal Solutions,Low,Pending
940,Corporate,Small Claims Court,Travis Olson,Jaime Solomon,2021-12-30,2024-09-27,11,26,1002,Pending,Carter Law,High,Open
941,Family,Small Claims Court,Jasmine Walls,Allison Jones,2024-10-04,2024-11-16,40,8,43,Conviction,Lee & Partners,High,Closed
942,Family,District Court,Christina Lee,Joseph Henderson,2023-01-10,2024-07-22,36,9,559,Dismissal,Davis Legal Services,Medium,Closed
943,Corporate,Small Claims Court,Rachel Beck,Michael Davis,2022-02-14,2023-07-27,6,13,528,Settlement,Wilson Legal,Low,Pending
944,Criminal,Commercial Court,Thomas Dillon,Stephen Hutchinson,2023-03-01,2023-09-14,29,30,197,Dismissal,Davis Law Firm,High,Closed
945,Property,District Court,Angela Rocha,Sean Reynolds,2023-05-21,2023-07-23,39,19,63,Settlement,Wilson Legal,Medium,Open
946,Family,Commercial Court,Victor West,Crystal Watson,2020-12-13,2022-11-14,30,3,701,Judgment for Plaintiff,Wilson Legal,High,Closed
947,Corporate,Family Court,Kathleen Russell,April Vincent,2022-03-31,2022-10-02,35,6,185,Dismissal,Lee & Partners,Low,Open
948,Corporate,Commercial Court,Erica Thompson DDS,Katelyn Martin,2021-05-18,2023-11-10,14,10,906,Pending,Wilson Legal,Low,Closed
949,Civil,Family Court,Charles Martinez,Madeline Rubio,2020-11-22,2021-03-02,8,23,100,Settlement,Davis Law Firm,Medium,Closed
950,Corporate,Small Claims Court,William Sexton,Amanda Rodriguez,2021-05-25,2022-06-10,15,33,381,Conviction,Young & Associates,High,Pending
951,Criminal,Small Claims Court,Leah Johnson,Timothy Phillips,2020-04-10,2021-01-13,29,10,278,Pending,Lee & Partners,Low,Pending
952,Property,Commercial Court,Larry Alexander,Nicholas Jones,2020-04-07,2020-11-15,18,17,222,Judgment for Plaintiff,Carter Law,Medium,Open
953,Family,Commercial Court,Patricia Hays,Jose Powell,2020-07-22,2022-08-20,19,3,759,Judgment for Plaintiff,Young & Associates,Medium,Closed
954,Criminal,Commercial Court,Marcus Stout,Olivia Christian,2024-05-19,2024-08-08,8,5,81,Acquittal,Clark & Harris,Low,Open
955,Civil,District Court,Joyce Martin,April Walton,2022-02-19,2023-07-09,16,25,505,Conviction,Carter Law,High,Closed
956,Corporate,Family Court,Mark Foster,Jill Rice,2021-11-14,2022-10-29,6,33,349,Conviction,Black Legal Solutions,Low,Open
957,Corporate,Commercial Court,Mark Craig,Jeremiah Green,2021-06-04,2022-11-09,28,14,523,Conviction,Wilson Legal,Medium,Open
958,Criminal,Family Court,Kelly Faulkner,Gina Keith,2023-02-08,2023-09-20,27,24,224,Pending,Clark & Harris,High,Closed
959,Corporate,High Court,Colleen Salas,Dale Ferguson,2022-06-05,2023-09-21,23,31,473,Acquittal,Young & Associates,High,Closed
960,Family,High Court,Charles Smith,Angela Rodriguez,2021-12-23,2022-10-08,29,15,289,Acquittal,Davis Legal Services,Medium,Pending
961,Criminal,Small Claims Court,Bradley Foster,Kathleen Lucas,2023-09-03,2024-01-24,18,33,143,Acquittal,Young & Associates,High,Closed
962,Corporate,Commercial Court,Timothy Cox,Kelly Simmons,2022-01-26,2024-04-15,17,14,810,Conviction,Lee & Partners,High,Closed
963,Criminal,Small Claims Court,Leslie Park,Margaret Gill,2023-09-08,2024-09-19,38,10,377,Acquittal,Young & Associates,High,Open
964,Property,Commercial Court,Rebecca Kim,Justin Kennedy,2020-05-17,2022-03-14,10,5,666,Conviction,Black Legal Solutions,Low,Pending
965,Civil,High Court,Heather Floyd,William Moreno,2022-08-20,2023-12-23,28,4,490,Settlement,Clark & Harris,Medium,Pending
966,Family,Small Claims Court,Nancy Gilbert,Dana Hardin,2020-12-23,2024-07-16,25,13,1301,Settlement,Davis Legal Services,Low,Closed
967,Corporate,District Court,Kenneth Lucero,Evan Henderson,2023-03-27,2024-06-04,8,14,435,Acquittal,Davis Law Firm,Medium,Pending
968,Property,Family Court,Kelsey Rice,Amy Hayes,2024-06-24,2024-12-10,24,20,169,Judgment for Plaintiff,Davis Legal Services,Medium,Closed
969,Property,Commercial Court,Michael Jones,Nicole Rodriguez,2021-06-26,2022-01-03,15,31,191,Judgment for Plaintiff,Clark & Harris,High,Pending
970,Family,Small Claims Court,Jeremy Jones,James Moody,2022-02-06,2024-10-30,8,18,997,Dismissal,Clark & Harris,High,Closed
971,Civil,Family Court,Jonathan Austin,David Hill,2021-10-08,2024-04-30,14,35,935,Conviction,Davis Legal Services,Medium,Pending
972,Family,District Court,Elizabeth Thompson,Jonathan Barnes,2022-12-23,2024-12-22,24,35,730,Judgment for Plaintiff,Smith & Co,Medium,Closed
973,Criminal,High Court,Gregory Munoz,Kelsey Palmer,2021-08-10,2021-09-02,5,15,23,Conviction,Young & Associates,Medium,Closed
974,Civil,Commercial Court,Charles Long,Robin Armstrong,2022-03-28,2024-11-23,37,31,971,Pending,Wilson Legal,Low,Closed
975,Civil,Commercial Court,Brandon Gonzales,Brian Butler,2021-05-16,2022-09-25,8,1,497,Acquittal,Lee & Partners,Low,Closed
976,Corporate,District Court,David Wood,Brad Woods,2022-07-27,2023-11-18,15,7,479,Settlement,Young & Associates,High,Pending
977,Civil,Small Claims Court,Kelly Petersen,Roger Morton,2022-12-17,2024-12-31,34,9,745,Pending,Young & Associates,High,Open
978,Criminal,Commercial Court,Anthony Gentry,Richard Estrada,2022-04-02,2023-05-09,20,29,402,Conviction,Lee & Partners,Medium,Pending
979,Criminal,High Court,Brooke Mccarthy,Joanna Cantu,2022-02-01,2024-03-28,33,12,786,Judgment for Plaintiff,Smith & Co,High,Open
980,Family,Small Claims Court,Stacy Villarreal,Crystal Campbell,2023-02-26,2023-05-04,11,16,67,Conviction,Wilson Legal,Low,Open
981,Criminal,Commercial Court,Emily Singleton,Erin Horn,2022-12-11,2023-12-29,7,29,383,Acquittal,Young & Associates,High,Closed
982,Family,Small Claims Court,Jennifer Gonzalez,Veronica Ortiz,2023-08-18,2023-09-12,28,12,25,Settlement,Black Legal Solutions,Medium,Open
983,Civil,District Court,Maria Ramirez,Jimmy Henderson,2023-02-18,2023-10-03,22,26,227,Conviction,Wilson Legal,Medium,Pending
984,Family,Family Court,Adam Cruz,Brandon Moore,2022-03-21,2024-02-26,19,14,707,Pending,Black Legal Solutions,Low,Open
985,Property,High Court,Carl Fisher,Russell Martin,2021-09-02,2023-10-12,24,8,770,Pending,Davis Legal Services,Low,Closed
986,Corporate,High Court,Kayla Smith,Angelica Moreno,2023-07-10,2024-05-25,24,20,320,Acquittal,Young & Associates,High,Pending
987,Criminal,Small Claims Court,Margaret Parks,Cole Mills,2020-06-04,2022-09-16,15,15,834,Pending,Davis Legal Services,High,Open
988,Property,District Court,Donna Clark,Jessica Smith,2023-11-22,2024-07-30,40,25,251,Dismissal,Davis Law Firm,Medium,Closed
989,Property,Small Claims Court,Lindsay Pollard,Mr. John Stevens,2022-11-10,2023-12-19,6,7,404,Acquittal,Davis Legal Services,High,Pending
990,Property,Small Claims Court,Christina Perez,Mrs. Barbara Crawford,2022-04-09,2023-12-27,7,6,627,Dismissal,Clark & Harris,High,Pending
991,Family,High Court,Jenny Walker,Joshua Gonzales,2023-04-07,2023-09-11,9,22,157,Settlement,Clark & Harris,Medium,Pending
992,Property,Family Court,John Cox,Deanna Hunt,2023-03-14,2024-07-18,16,22,492,Conviction,Wilson Legal,High,Closed
993,Civil,Commercial Court,Denise Castro,Daniel Scott,2023-10-28,2024-07-22,10,3,268,Judgment for Plaintiff,Davis Law Firm,Medium,Pending
994,Criminal,Small Claims Court,Stacey Evans,Cole Conner,2024-09-25,2024-11-13,14,24,49,Pending,Wilson Legal,Medium,Pending
995,Corporate,Commercial Court,Katherine Dean,Audrey Dixon,2020-05-09,2022-08-05,37,30,818,Settlement,Lee & Partners,Low,Pending
996,Criminal,District Court,Steven Martin,Antonio Montgomery,2022-04-14,2024-11-27,16,22,958,Dismissal,Smith & Co,Low,Closed
997,Property,High Court,Leslie Burns,Marilyn Newton,2020-08-18,2024-06-15,34,27,1397,Dismissal,Smith & Co,High,Closed
998,Family,District Court,Patricia Aguirre,Antonio Garcia,2024-06-19,2024-12-15,16,27,179,Judgment for Plaintiff,Wilson Legal,Medium,Open
999,Civil,High Court,Heather Santiago,Gabriel Mason,2021-06-11,2022-08-30,24,8,445,Conviction,Lee & Partners,Low,Pending
1000,Family,Family Court,Amy Taylor,Timothy Campbell,2020-10-04,2021-01-14,30,10,102,Acquittal,Clark & Harris,Low,Open
1001,Corporate,Family Court,Anthony Zimmerman,Daniel Tucker,2024-09-18,2024-12-26,22,30,99,Pending,Black Legal Solutions,Low,Open
1002,Criminal,Family Court,Anthony Grant,Stephen Hart,2021-09-22,2024-07-07,21,13,1019,Pending,Black Legal Solutions,Low,Open
1003,Criminal,Commercial Court,Evan Gibson,Stephanie Bennett,2021-07-09,2022-01-18,34,14,193,Conviction,Wilson Legal,High,Closed
1004,Property,Family Court,Jennifer Hess,Suzanne George,2023-12-19,2024-12-02,20,2,349,Acquittal,Clark & Harris,High,Pending
1005,Property,Family Court,Alexandra Osborne,Chad Oneill,2022-09-27,2024-01-14,37,27,474,Pending,Davis Law Firm,High,Open
1006,Property,Family Court,Barbara Garcia,Dawn Stevens,2024-03-11,2024-08-05,13,35,147,Judgment for Plaintiff,Black Legal Solutions,High,Open
1007,Civil,Small Claims Court,Gary Reynolds,Jesse Robinson,2024-07-18,2024-10-04,9,1,78,Judgment for Plaintiff,Davis Legal Services,High,Pending
